Product Details,ASIN,Segment,PackSize,URL,Image URL,Brand,Price  £,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  £,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
"Super Ninja Fruit Fly Trap & Fungus Gnat Killer Combo – 2 Fruit Fly Catcher + 10 Fungus Gnats Sticky Traps, Indoor Fly Control for Houseplants, Non-Toxic, Up to 3 Months of Protection",B0DWTY51S5,Lure,2,https://www.amazon.co.uk/dp/B0DWTY51S5?psc=1,https://m.media-amazon.com/images/I/91cQ3o-auGL._AC_SY355_.jpg,Super Ninja,15.06,"6,776",80,N/A,"40,036.44","1,039.63",183,71,N/A,4.67,1,4.2,"9,276",7,364,Super Ninja ECO,Garden,Large Envelope,FBA,18.20 x 3.80 x 13.30 cm,0.11,N/A,"May 25, 2025",,No,10,Super Ninja ECO
"Senelux Bug Zapper, Electric Mosquito Zapper for Indoor and Outdoor 18W, 4200V Insect Fly Pest Trap, Mosquito Killer for Flying Insect Control Lamp, Silent and Safe",B0BGYDSGBM,Electric,,https://www.amazon.co.uk/dp/B0BGYDSGBM?psc=1,https://m.media-amazon.com/images/I/71zSudoCDyL._SX342_.jpg,Senelux,19.7,58,41,N/A,"1,501.30","1,080.63",164,"7,254",GB,4.62,3,4.1,170,7,1,Senelux Outlet,Garden,Standard Parcel,FBA,37.20 x 10.20 x 17.50 cm,0.98,N/A,"Sep 30, 2022",,No,42,Senelux Outlet
Zero In Honeypot Wasp Trap Bait Refill 3 Pack – Super Effective Non-Toxic Wasp Attractant Sachets – Lasts 2-3 Weeks Per Refill – For Use with Honeypot & Ready-Baited Wasp Traps – Outdoor Garden Use,B014MI6CXE,Lure,1,https://www.amazon.co.uk/dp/B014MI6CXE?psc=1,https://m.media-amazon.com/images/I/71dHvsY-KDL._AC_SY355_.jpg,Zero In,3.93,899,240,200,"8,465.77","1,136.50",197,273,N/A,3.44,28,4.3,"21,329",8,18,Amazon,Garden,Large Envelope,AMZ,18.00 x 2.70 x 9.50 cm,0.03,N/A,"Apr 27, 2017",,No,107,Amazon
"2-Pack GeckoMan Hybrid Spectrum, Waterproof Switch, 15W Fly Zapper Electric Fly Catcher Bug Zapper Mosquito Killer Flies Killer Trap for Home Indoor UK Plug",B0C3TGP9WZ,Electric,,https://www.amazon.co.uk/dp/B0C3TGP9WZ?psc=1,https://m.media-amazon.com/images/I/71fUksNFfeL._AC_SY355_.jpg,GeckoMan,57.96,206,20,N/A,"8,121.74","1,153.97",156,"2,543",N/A,11.59,1,4,"2,022",7,32,Dan - UK,Garden,Standard Parcel,FBA,31.90 x 16.21 x 25.30 cm,1.6,N/A,"Mar 21, 2024",,No,24,Dan - UK
"VEYOFLY Fruit Fly Trap Indoor (1 Device + 3 Refills), Gnat Catcher, Plug-In Light Insect Trap for House, Bug Killer",B0BJ1FLRJ5,Electric,,https://www.amazon.co.uk/dp/B0BJ1FLRJ5?psc=1,https://m.media-amazon.com/images/I/61TCxMkmLBL._AC_SX355_.jpg,VEYOFLY,23.15,118,68,50,"2,806.45","1,358.49",115,"8,314",US,6.88,1,3.7,"3,202",9,44,VEYOFLY UK,Garden,Small Parcel,FBA,22.50 x 8.90 x 10.80 cm,0.31,N/A,"Jan 30, 2023",,No,38,VEYOFLY UK
"16 Pack Pesticide Free Fly Paper Strips, Sticky Fly Catchers Set Fruit Trap Insect Sticky Trap for Indoors and Outdoors Use",B01LY7O55T,Sticky Trap,,https://www.amazon.co.uk/dp/B01LY7O55T?psc=1,https://m.media-amazon.com/images/I/71+Nb1-UImL._SX342_.jpg,Plai,8.1,341,278,200,"2,459.42","1,877.26",123,"3,781",CN,2.98,1,3.8,"8,776",7,8,UFelice,Garden,Large Envelope,FBA,18.60 x 2.70 x 10.80 cm,0.16,N/A,"Jan 5, 2017",,No,110,UFelice
"Zero In Outdoor Fly Trap - Ready-Baited Outdoor Fly Catcher, Multi Pack X2 - Non-Toxic, Insect Trap to Attract & Trap Bugs - Suitable for Garden & Outdoor Use, Lasts up to 2-3 Weeks",B0C65YHB4D,Lure,4,https://www.amazon.co.uk/dp/B0C65YHB4D?psc=1,https://m.media-amazon.com/images/I/81Zzlpa7OmL._AC_SY355_.jpg,Zero In,17.39,899,121,200,"8,465.77","1,905.81",181,274,N/A,3.9,12,4.3,"21,329",8,19,Amazon,Garden,Small Parcel,AMZ,30.30 x 7.70 x 22.90 cm,0.35,N/A,"May 25, 2023",,No,34,Amazon
"Trappify Hanging Fly Traps Outdoor: Fruit Fly Traps for Indoors | Fly Catcher, Gnat, Mosquito, & Flying Insect Catchers for Inside Home - Disposable Sticky Fly Trap for Indoor House Pest Control",B08DMY3WWX,Sticky Trap,,https://www.amazon.co.uk/dp/B08DMY3WWX?psc=1,https://m.media-amazon.com/images/I/71DG14XKAtL._AC_SY355_.jpg,Trappify,16.22,192,139,100,"3,374.86","1,946.47",194,"5,844",N/A,5.14,1,3.9,"5,409",9,29,Trappify,Garden,Extra Large Envelope,FBA,27.31 x 5.41 x 10.49 cm,0.14,N/A,"Feb 20, 2021",,No,61,Trappify
"Fruit Fly Drain Treatment | Drain Fly Eliminator | All-Natural, Eliminates Gnats, Sewer Flies and More - Works in All Drains - 128 Fl Oz w Fly Finder",B0C6J8YL3P,Drain,,https://www.amazon.co.uk/dp/B0C6J8YL3P?psc=1,https://m.media-amazon.com/images/I/61uEJDPohUL._SX342_.jpg,Eco Strong,82.26,825,30,N/A,"27,092.92","2,085.46",149,"31,913",N/A,N/A,15,4.1,147,9,2,BOND  STREET LTD ✅,Garden,Standard Parcel,MFN,29.90 x 17.20 x 18.39 cm,3.98,N/A,"Jul 24, 2023",,No,32,BOND  STREET LTD ✅
"Blooven Fruit Fly Traps, Double-sided Fungus Gnat Sticky Catcher For Multiple Insects, Plant Fly Control Indoor (Rectangle 6.5 x 9 cm 60 PCS)",B0BW8VSPRS,Sticky Trap,,https://www.amazon.co.uk/dp/B0BW8VSPRS?psc=1,https://m.media-amazon.com/images/I/71oyhtSjixL._AC_SY355_.jpg,Blooven,8.16,"12,526",286,200,"69,584.13","2,189.76",141,16,N/A,2.29,1,4.3,"21,633",6,544,Blooven,Garden,Standard Envelope,FBA,13.50 x 2.10 x 10.40 cm,0.18,N/A,"Jun 28, 2023",,No,33,Blooven
"Fruit Fly Traps, TRIITECH 50 Pack Sticky Fly Traps, Plant Fly Stickers, Sticky Bug Traps for Indoor and Outdoor(Black)",B0CM5VK8LP,Sticky Trap,,https://www.amazon.co.uk/dp/B0CM5VK8LP?psc=1,https://m.media-amazon.com/images/I/71SfTHL+OAL._AC_SY355_.jpg,TRIITECH,6.94,"1,125",375,300,"7,069.62","2,241.63",118,772,N/A,2.63,1,4.2,"1,832",10,124,Soaring Store,Garden,Standard Envelope,FBA,15.30 x 2.40 x 14.30 cm,0.17,N/A,"Aug 18, 2024",,No,19,Soaring Store
"Fruit Fly Drain Treatment | Drain Fly Eliminator | All-Natural, Eliminates Gnats, Sewer Flies and More - Works in All Drains - 256 Fl Oz",B0C6J9511N,Drain,,https://www.amazon.co.uk/dp/B0C6J9511N?psc=1,https://m.media-amazon.com/images/I/51sOFHRTv6L._SX342_.jpg,Eco Strong,133.14,825,20,N/A,"27,092.92","2,272.38",136,"31,913",N/A,19.25,16,3.9,31,9,0,GRANDORA GLOBAL LTD,Garden,Standard Parcel,MFN,33.78 x 22.30 x 25.30 cm,7.87,N/A,"Aug 3, 2023",,No,31,GRANDORA GLOBAL LTD
